customer_id,name,age,income,credit_score,employment_status,existing_debt,has_defaulted,is_approved
c3cec433-54b2-4f06-862e-8a21ca726ac9,Kenneth Brown,53,73173,807,Employed,5412,1,0
b7c28268-46c5-4838-92a1-973ed224d8d4,Nathan Meyers,69,91091,820,Unemployed,8897,1,1
5aca245b-9754-4517-83b9-e7d968d0b00f,Edward Hester,59,29709,412,Student,41268,1,0
eac8e492-1941-4fb0-8ae6-9aedefccf58b,Grace Sutton,35,84302,513,Student,11377,0,1
0db02bbd-233b-4c37-897c-2ec67e10a87f,Michelle Rios,49,27127,496,Employed,15561,1,0
29d43267-9ea8-4770-82ec-2acbaec70620,Diana Cochran,25,79383,598,Student,12930,0,0
93ab8eef-dffa-4fc9-8491-6ff49eb2a6ab,Kevin Buck,60,100917,757,Employed,48021,1,1
dab856e5-f604-48e4-ade1-23637a1d172b,Ronald Thomas,62,100988,635,Employed,35283,0,0
d3028927-3118-49af-b2b7-60785508a105,Daniel Little,49,87609,346,Employed,25165,1,0
a00d670d-9668-44e3-80e7-1880c65259d1,Eric Walls,43,24640,499,Self-employed,44052,0,1
814dde35-f03e-476e-a572-1c9c7eedda5b,Joseph Rubio,49,65241,442,Self-employed,16474,1,1
5280068c-254d-4a5a-80fc-fbe13c3f3d6e,Philip Wood,32,55192,360,Self-employed,43236,0,0
190a4e08-9c5f-4743-92ba-2f21552a6685,Daniel Gutierrez,62,116940,690,Employed,49638,0,0
9ef8c1f7-39e7-46d1-9435-8a271ea33815,Megan Warren,20,81703,682,Unemployed,30062,0,1
9294643f-0d20-4253-a095-cfce554c9b57,Tyler Holloway,51,104993,357,Unemployed,8545,0,1
89de535e-2c90-46cb-9cf4-ba4169f4eda0,Johnny Johnson,58,28504,389,Employed,36203,0,0
09f06270-9178-4e12-a1ef-c7130e7649e1,Brian Nelson,47,23030,622,Unemployed,8359,0,0
0036a3f6-7e15-403a-8234-7cef818c1bf6,George Colon,66,49643,772,Student,23975,0,1
eacb515a-d5f7-421c-b692-8fe5abecc6ec,Bryan Goodwin,59,116384,739,Employed,46860,0,1
55b42cf2-f215-4dc7-9de8-e8ce08e586f2,Jerome Griffith,30,32772,391,Self-employed,48586,1,1
223d9ec0-ee28-4083-9144-165e768d8a07,Kristin Haas,23,31976,756,Student,28805,1,1
6ce0d45b-363e-4566-957b-0dafb036846f,Lisa Curtis,30,108195,483,Unemployed,16392,0,0
547828d3-52d6-4d27-9dc1-4d822f32ea85,Brenda Mendoza,62,37359,395,Employed,32358,0,0
0048ea12-436d-4ca1-a6b9-39e765c9b644,Renee Travis,45,79377,845,Employed,48972,0,0
f3ea3213-87ef-4375-bf5e-c1e92ea83c30,Kim Wilkerson,29,88194,817,Student,12439,0,0
c1491a11-5c9f-492b-ad20-469d289aa8c6,Dale Fields,44,49679,793,Unemployed,26169,1,0
9d291634-a3dd-413e-8119-cca82d0e3b79,John Johnson,61,53442,617,Unemployed,27473,1,0
2631cfbb-07e7-41f9-8338-1145c6a864a2,Victoria Conway,49,43656,433,Student,38398,1,0
b219cd96-b0f8-4825-8402-02c72ec9b50a,Kristen Beasley,58,67987,313,Unemployed,26857,1,1
beffe49e-eef1-47ff-9922-3a18b3d63683,Robert Kennedy,62,97667,504,Unemployed,6053,0,1
e118b1d2-6613-401b-94e8-77b38c2b6b95,Mariah Johnson,62,32956,655,Student,47160,0,1
294ee3eb-9211-4f4e-9880-56c67ce03015,Shannon Alvarez,67,101183,802,Self-employed,49711,1,0
db34ac37-3806-425d-9720-bc5e63101837,Jonathan Baker,60,60881,348,Self-employed,9424,1,1
b2d1aa97-d22b-40f8-99fb-f39a4fd554da,Amanda Perez,63,64215,751,Unemployed,44762,1,0
18a2c019-2763-40e1-a834-b3b81b37340b,James Kelly,54,78640,491,Self-employed,35974,1,0
cb640940-0ef3-481d-af5f-a30288366a2d,Crystal Mathews,68,48220,796,Employed,29818,0,1
882561c4-959b-4c86-835b-b1f526de0f6e,Amanda Webster,19,111984,494,Employed,18807,0,1
1b9d3bc2-3174-4757-b074-97474b3134a8,Matthew Smith,53,30512,383,Student,35481,0,1
39ca1dea-5b84-46bd-8a90-973bbe6895eb,Emma Thompson,43,81130,426,Unemployed,19905,0,1
61c061df-68f7-4666-9fa0-f3add50b045e,Robyn Reynolds,26,75375,594,Student,8960,0,1
f6d7dece-e0d1-4939-a550-01b244d6627e,Matthew Conner,31,64298,441,Student,22899,0,1
34b8254d-960e-46aa-9e40-16b62eaf34b2,Joshua Watts,45,48967,742,Employed,29545,1,0
7e8b1268-8c55-47ce-b180-d580cf32e0d3,David Cox,47,31610,520,Student,18553,1,1
8f3bdd6f-cfcd-4777-a3d7-2c51c2dde16b,Linda Webb,64,67848,498,Self-employed,29166,0,1
024f63c6-2420-4492-872d-5625d8ac8d47,Carol Rangel,47,105369,721,Employed,28527,0,1
